date,coral_id,chamber_vol
20230605,105,646.0942912
20230605,76,646.6701901
20230605,18,646.8519976
20230605,25,646.7978758
20230605,41,646.6255264
20230605,64,647.6228405
20230605,38,647.2523945
20230605,21,647.4074038
20230605,7,645.8751764
20230605,93,646.7117011
20230605,81,646.8146903
20230605,4,646.0585602
20230605,3,646.6113391
20230605,40,645.7023016
20230605,75,646.6271028
20230605,103,646.9302905
20230605,23,647.4625766
20230605,72,647.2865491
20230605,91,646.6791229
20230605,79,647.2466145
20230605,6,646.7153793
20230605,56,647.1567617
20230605,58,647.7652389
20230605,51,647.4588985
20230605,53,647.481493
20230605,33,647.3816565
20230605,104,646.0690693
20230605,66,646.8294031
20230605,48,647.0847743
20230605,27,646.6875302
20230605,2,645.8010872
20230605,83,647.1042162
20230605,96,646.5987282
20230605,60,647.1861872
20230605,62,647.5587349
20230605,102,647.4457621
20230606,88,647.0844713
20230606,98,646.1816961
20230606,1,646.0851762
20230606,69,647.562874
20230606,52,647.7637822
20230606,22,647.1941053
20230606,32,646.8662526
20230606,74,647.1143715
20230606,17,647.4385523
20230606,19,647.4180943
20230606,26,647.3079357
20230606,13,647.3110831
20230606,11,646.9449372
20230606,89,647.1579103
20230606,77,647.5298265
20230606,47,647.257053
20230606,42,646.7896662
20230606,71,646.8221892
20230606,5,644.6384278
20230606,82,647.428061
20230606,100,647.207744
20230606,45,646.4759767
20230606,28,647.0755537
20230606,55,647.1479436
20230606,85,646.6433127
20230606,14,646.6821305
20230606,43,646.3757849
20230606,30,646.6459355
20230606,35,647.660443
20230606,87,647.6468043
20230606,95,646.6459355
20230606,37,646.8221892
20230606,59,647.37508
20230606,16,646.2724457
20230606,10,646.7345869
20230606,65,647.1405997
20230607,101,647.508909
20230607,78,646.9231092
20230607,15,647.2582265
20230607,63,647.4816381
20230607,46,647.126592
20230607,29,646.9325492
20230607,9,647.0463527
20230607,90,647.1800849
20230607,97,646.3005987
20230607,49,646.9477579
20230607,54,647.5340821
20230607,8,647.7087207
20230607,99,647.0211796
20230607,92,647.3379414
20230607,70,647.3227327
20230607,57,647.2629465
20230607,50,646.5712098
20230607,44,646.8853495
20230607,12,646.4065356
20230607,39,647.206307
20230607,61,647.7113429
20230607,107,647.6725343
20230607,106,646.5974319
20230607,80,646.5544278
20230607,73,646.8386744
20230607,34,647.1606807
20230607,31,646.2906343
20230607,67,646.7815104
20230607,68,647.6242858
20230607,84,646.8035369
20230607,86,646.8176967
20230607,94,646.2539235
20230607,108,647.2823508
20230607,36,646.8135012
20230607,20,647.355248
20230607,24,647.3688834
20230605,20230605_blank,650
20230605,20230605_blank2,650
20230605,20230605_blank3,650
20230605,20230605_blank4,650
20230606,20230606_blank,650
20230606,20230606_blank2,650
20230606,20230606_blank3,650
20230606,20230606_blank4,650
20230607,20230607_blank,650
20230607,20230607_blank2,650
20230607,20230607_blank3,650
20230607,20230607_blank4,650
